Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2007,07-UF-KEN-6310,6,27,3002501.17,4,2007-09-17,2007-10-23,52
2007,07-UF-LBR-12961,2,12,192600.0,4,2007-09-12,2007-10-10,57
2007,07-UF-LBR-12961,6,27,1268997.1600000001,4,2007-09-12,2007-10-10,57
2007,07-UF-MMR-7749,6,27,354977.0,4,2007-03-13,2007-03-13,67
2007,07-UF-MMR-7752,6,27,1448334.88,4,2007-09-21,2007-09-21,67
2007,07-UF-MRT-7329,6,27,854731.0,4,2007-09-12,2007-12-03,63
2007,07-UF-NAM-8161,1,16,616815.0,4,2007-03-01,2007-03-05,68
2007,07-UF-NAM-8161,6,27,383184.12,4,2007-03-01,2007-03-05,68
2007,07-UF-NER-8394,6,27,2000022.6,4,2007-09-28,2007-09-28,71
2007,07-UF-PRK-6555,2,12,300000.0,4,2007-03-20,2007-03-20,26
2007,07-UF-PRK-6555,6,27,4698577.04,4,2007-03-20,2007-03-20,26
2007,07-UF-PSE-9386,2,12,509510.0,4,2007-08-28,2007-08-29,73
2007,07-UF-PSE-9386,6,27,2150000.0,4,2007-08-28,2007-08-29,73
2007,07-UF-PSE-9386,3,8,1000000.0,4,2007-08-28,2007-08-29,73
2007,07-UF-SDN-10053,1,16,300000.0,4,2007-02-27,2007-04-19,80
2007,07-UF-SDN-10053,6,27,5700000.0,4,2007-02-27,2007-04-19,80
2007,07-UF-SOM-10632,5,22,1000000.0,4,2007-02-23,2007-02-23,87
2007,07-UF-TCD-1818,1,16,979050.0,4,2007-09-06,2007-09-06,19
2007,07-UF-ZWE-12520,6,27,2000000.0,4,2007-02-23,2007-03-01,107
2007,07-UF-ZWE-12525,2,12,199084.11,4,2007-09-07,2007-11-27,107
2007,07-UF-ZWE-12525,6,27,1799992.3,4,2007-09-07,2007-11-27,107
2008,08-RR-AFG-26,1,19,1444500.0,3,2008-01-30,2008-01-30,1
2008,08-RR-AFG-32,3,8,808866.0,3,2008-02-12,2008-02-12,1
2008,08-RR-AFG-32,5,35,7193194.0,3,2008-02-12,2008-02-12,1
2008,08-RR-AGO-217,3,6,1498653.0,3,2008-04-22,2008-04-22,3
2008,08-RR-BDI-717,3,8,1600013.0,3,2008-08-22,2008-08-22,14
2008,08-RR-BFA-582,3,8,2000293.23,3,2008-09-12,2008-09-12,13
2008,08-RR-BGD-351,2,12,1000000.0,3,2008-04-24,2008-04-24,7
2008,08-RR-BOL-436,3,6,1488474.0,3,2008-02-12,2008-02-15,10
2008,08-RR-BOL-436,3,5,783400.1,3,2008-02-12,2008-02-15,10
2008,08-RR-CAF-1238,1,16,999983.0,3,2008-02-19,2008-02-19,18
2008,08-RR-CAF-1243,1,16,2387031.0,3,2008-05-27,2008-06-13,18
2008,08-RR-CHN-2704,3,1,8045731.0,3,2008-05-22,2008-05-23,21
2008,08-RR-CIV-4190,3,8,2012459.0,3,2008-06-26,2008-06-26,24
2008,08-RR-CIV-4195,2,12,2065100.0,3,2008-07-14,2008-07-14,24
2008,08-RR-CIV-4198,3,8,994514.0,3,2008-10-24,2008-10-24,24
2008,08-RR-CMR-903,1,16,4720260.0,3,2008-02-21,2008-02-21,16
2008,08-RR-COD-3814,3,8,3000022.0,3,2008-09-03,2008-09-03,27
2008,08-RR-COL-2780,3,6,1838333.0,3,2008-01-09,2008-01-09,22
2008,08-RR-COM-3136,1,19,534037.0,3,2008-04-17,2008-04-17,23
2008,08-RR-CUB-13342,3,6,819269.0,3,2008-09-26,2008-09-26,25
2008,08-RR-CUB-13342,3,5,4060816.0,3,2008-09-26,2008-09-26,25
2008,08-RR-CUB-4452,3,6,703197.0,3,2008-09-12,2008-09-12,25
2008,08-RR-CUB-4452,3,5,1784234.0,3,2008-09-12,2008-09-12,25
2008,08-RR-DJI-4536,3,8,2579639.0,3,2008-02-29,2008-03-03,28
2008,08-RR-DJI-4546,3,8,3001028.0,3,2008-09-22,2008-09-22,28
2008,08-RR-ERI-4947,1,16,996245.0,3,2008-04-07,2008-04-07,35
2008,08-RR-ERI-4949,3,8,1999997.0,3,2008-08-27,2008-08-27,35
2008,08-RR-ETH-13372,1,16,1877293.0,3,2008-08-15,2008-09-05,36
2008,08-RR-ETH-5172,3,8,19999594.0,3,2008-07-03,2008-08-13,36
2008,08-RR-GEO-5518,1,16,2995315.0,3,2008-09-15,2008-09-18,39
2008,08-RR-GIN-5702,3,8,3999178.0,3,2008-07-14,2008-07-14,43
2008,08-RR-GNB-5770,2,9,201765.0,3,2008-08-04,2008-08-04,44
2008,08-RR-GNB-5770,2,12,400146.0,3,2008-08-04,2008-08-04,44
2008,08-RR-GNB-5773,2,9,600056.0,3,2008-11-19,2008-11-20,44
2008,08-RR-GTM-5584,3,6,1483541.0,3,2008-11-12,2008-11-12,42
2008,08-RR-HND-6013,3,6,1501344.0,3,2008-10-31,2008-10-31,46
2008,08-RR-HTI-5817,3,8,5846936.0,3,2008-05-23,2008-05-23,45
2008,08-RR-HTI-5820,3,5,5106424.0,3,2008-09-29,2008-10-01,45
2008,08-RR-HTI-5831,3,6,834600.0,3,2008-11-28,2008-12-04,45
2008,08-RR-HTI-5831,3,5,3242143.0,3,2008-11-28,2008-12-04,45
2008,08-RR-HTI-5837,3,5,1000001.0,3,2008-12-23,2008-12-23,45
2008,08-RR-IND-6026,3,6,3010825.0,3,2008-09-17,2008-11-03,47
2008,08-RR-IRQ-6066,1,16,5076123.0,3,2008-02-01,2008-02-01,49
2008,08-RR-IRQ-6068,1,16,1560531.0,3,2008-04-02,2008-04-02,49
2008,08-RR-JOR-6179,1,16,3543119.0,3,2008-05-16,2008-05-16,51
2008,08-RR-KEN-13435,3,8,5052061.0,3,2008-08-26,2008-09-12,52
2008,08-RR-KEN-6325,1,19,7022854.0,3,2008-01-10,2008-01-10,52
2008,08-RR-KEN-6343,1,16,2971998.98,3,2008-08-05,2008-09-02,52
2008,08-RR-KEN-6358,1,16,4517017.0,3,2008-12-31,2008-12-31,52
2008,08-RR-KGZ-6866,3,7,1970556.0,3,2008-12-11,2008-12-11,53
2008,08-RR-LAO-6915,3,6,1724459.6,3,2008-09-11,2008-09-11,54
2008,08-RR-LAO-6915,3,5,299918.0,3,2008-09-11,2008-09-11,54
2008,08-RR-LBN-6984,1,16,1008582.0,3,2008-10-30,2008-10-30,55
2008,08-RR-LBR-12975,3,8,1900000.0,3,2008-07-09,2008-07-09,57
2008,08-RR-LKA-11006,1,19,6915915.0,3,2008-04-16,2008-04-16,89
2008,08-RR-LKA-11027,1,19,1585495.0,3,2008-11-25,2008-11-25,89
2008,08-RR-LSO-12895,3,8,1656382.0,3,2008-08-19,2008-08-20,56
2008,08-RR-LSO-6549,2,12,239438.0,3,2008-03-19,2008-03-19,56
2008,08-RR-MDG-13080,3,6,4625583.0,3,2008-03-07,2008-03-10,59
2008,08-RR-MDG-13099,2,12,376186.0,3,2008-06-18,2008-06-18,59
2008,08-RR-MDG-13104,3,8,1489030.75,3,2008-09-05,2008-09-05,59
2008,08-RR-MMR-13525,3,5,2499615.0,3,2008-05-21,2008-05-23,67
2008,08-RR-MMR-7768,3,5,19917751.0,3,2008-05-13,2008-05-13,67
2008,08-RR-MMR-7787,3,5,4000004.0,3,2008-08-11,2008-08-20,67
2008,08-RR-MOZ-7642,3,6,4290247.0,3,2008-01-28,2008-02-11,66
2008,08-RR-MOZ-7661,3,5,548913.0,3,2008-03-20,2008-03-20,66
2008,08-RR-MRT-7343,3,8,1132595.0,3,2008-07-08,2008-07-09,63
2008,08-RR-NER-8410,6,27,700850.0,3,2008-04-07,2008-04-07,71
2008,08-RR-NER-8413,2,12,1055020.0,3,2008-06-18,2008-06-18,71
2008,08-RR-NER-8416,3,8,1998773.0,3,2008-09-26,2008-09-26,71
2008,08-RR-NPL-13533,3,6,40376.0,3,2008-12-31,2008-12-31,69
2008,08-RR-NPL-13536,3,6,1000000.0,3,2008-10-10,2008-10-10,69
2008,08-RR-NPL-13539,3,8,2999522.0,3,2008-11-18,2008-11-18,69
2008,08-RR-NPL-8232,3,6,2603222.0,3,2008-09-26,2008-10-02,69
2008,08-RR-PAK-8765,3,8,2699994.0,3,2008-09-03,2008-09-12,74
2008,08-RR-PAK-8765,3,5,274990.0,3,2008-09-03,2008-09-12,74
2008,08-RR-PAK-8774,3,6,5750403.0,3,2008-09-08,2008-09-08,74
2008,08-RR-PAK-8774,3,5,1199043.0,3,2008-09-08,2008-09-08,74
2008,08-RR-PAK-8806,3,1,1986835.0,3,2008-11-14,2008-11-17,74
2008,08-RR-PHL-9612,1,19,2080292.0,3,2008-09-17,2008-09-17,78
