contributionYear,donorId,fundId,paidAmount,pledgedAmount
2018,67,36,14883566,0
2018,67,49,9318181,0
2018,67,51,2844141,0
2018,67,55,2844141,0
2018,67,67,1136363,0
2018,67,72,6590909,0
2018,67,73,5925094,0
2018,67,80,4557200,0
2018,67,87,13635600,0
2018,67,88,21095700,0
2018,67,105,43846578,0
2018,67,108,22574635,0
2018,80,55,251990,0
2018,80,72,239165,0
2018,80,73,239165,0
2018,80,91,251990,0
2018,86,18,3580776,0
2018,86,27,3675576,0
2018,86,36,8970117,0
2018,86,49,2469135,0
2018,86,51,1851851,0
2018,86,55,2415458,0
2018,86,72,2285714,0
2018,86,73,341296,0
2018,86,80,3635376,0
2018,86,87,3635376,0
2018,86,88,4802852,0
2018,86,105,6075927,0
2018,86,108,3086419,0
2018,88,51,585480,0
2018,88,73,568181,0
2018,88,108,1706484,0
2018,93,91,705218,0
2018,98,1,1000000,0
2018,98,18,200000,0
2018,98,27,500000,0
2018,98,36,300000,0
2018,98,72,1000000,0
2018,98,87,500000,0
2018,98,88,800000,0
2018,98,105,1000000,0
2018,100,91,100000,0
2018,100,105,5000000,0
2018,108,105,24691,0
2018,109,18,370535,0
2018,109,27,370535,0
2018,109,49,370370,0
2018,109,67,370370,0
2018,109,72,370370,0
2018,109,88,370535,0
2018,109,91,370370,0
2018,109,105,370370,0
2018,111,49,100000,0
2018,114,67,31055,0
2018,114,105,34722,0
2018,119,105,12345,0
2018,124,27,8250200,0
2018,124,49,8254716,0
2018,124,72,8254716,0
2018,124,87,4697600,0
2018,124,88,12472100,0
2018,124,91,6038647,0
2018,124,105,18966842,0
2018,124,108,14302059,0
2018,125,67,686598,0
2018,129,1,2163811,0
2018,129,27,2088084,0
2018,129,72,2790962,0
2018,129,73,7174971,0
2018,129,80,1234680,0
2018,129,87,5230807,0
2018,129,88,9918121,0
2018,129,91,5173465,0
2018,129,105,4320200,0
2018,129,108,5876508,0
2018,134,105,10000,0
2018,136,105,165136,0
2018,141,1,999960,0
2018,141,49,999991,0
2018,141,55,499995,0
2018,141,91,499995,0
2018,141,105,472899,0
2018,148,105,25000000,0
2018,158,73,707547,0
2018,158,91,1179245,0
2018,158,105,589622,0
2018,162,1,12196079,0
2018,162,18,1482102,0
2018,162,27,12160620,0
2018,162,36,6674818,0
2018,162,49,1893890,0
2018,162,51,3314696,0
2018,162,55,1893890,0
2018,162,67,1262593,0
2018,162,72,2525187,0
2018,162,73,3576132,0
2018,162,74,2903966,0
2018,162,80,7039986,0
2018,162,87,9782770,0
2018,162,88,9487463,0
2018,162,91,3201909,0
