allocationYear,fundId,clusterId,ClusterCBPFCERFId,partnerTypeId,partnerCode,projectList,budget
2008,109,9,9,3,4,1439,540914.0
2008,109,6,18,3,2,1324,3000022.0
2008,109,4,19,3,11,1315,230000.0
2008,109,6,17,3,5,1068##1314,522141.0
2008,109,6,18,3,2,983##1316,2082678.0
2008,109,9,9,3,1,1318,246100.0
2008,109,9,9,3,3,986##1317,433476.0
2008,109,9,9,3,4,984##1312,685972.0
2008,109,11,11,3,4,985##1313,1380300.0
2008,109,6,17,3,1,1103,996245.0
2008,109,6,17,3,5,1309,799983.0
2008,109,6,18,3,11,1310,729214.0
2008,109,9,9,3,3,1311,470800.0
2008,109,6,18,3,2,1252,9999239.0
2008,109,7,7,3,3,1249,1249548.0
2008,109,7,7,3,4,1253,1000054.0
2008,109,7,7,3,6,1251,250000.0
2008,109,9,9,3,3,1250,350008.0
