FileName,WeekNumber,Year,weekNumber,LinktoDocument,Capturedon
Week_39__25_September_-_1_October_2023.pdf,39,2023,39,https://cbpfgms.github.io/pf-onebi-data/OEW39-250901102023_c.pdf,10/20/2023
Week_40__02_October_-_08_October_2023.pdf,40,2023,40,https://cbpfgms.github.io/pf-onebi-data/OEW40-0208102023_c.pdf,10/20/2023
Week_41__09_October_-_15_October_2023.pdf,41,2023,41,https://cbpfgms.github.io/pf-onebi-data/OEW41-0915102023_c.pdf,11/7/2023
Week_42__16_October_-_22_October_2023.pdf,42,2023,42,https://cbpfgms.github.io/pf-onebi-data/OEW42-1622102023_c.pdf,11/7/2023
Week_43__23_October_-_29_October_2023.pdf,43,2023,43,https://cbpfgms.github.io/pf-onebi-data/OEW43-2329102023_c.pdf,12/4/2023
Week_44__30_October_-_05_November_2023.pdf,44,2023,44,https://cbpfgms.github.io/pf-onebi-data/OEW44-301005112023_c.pdf,12/4/2023
Week_45__06_-_12_November_2023.pdf,45,2023,45,https://cbpfgms.github.io/pf-onebi-data/OEW45-0612112023_c.pdf,12/4/2023
Week_46__13_-_19_November_2023.pdf,46,2023,46,https://cbpfgms.github.io/pf-onebi-data/OEW46-1319112023_c.pdf,1/12/2024
Week_47__20_-_26_November_2023.pdf,47,2023,47,https://cbpfgms.github.io/pf-onebi-data/OEW47-2026112023_c.pdf,1/12/2024
Week_48__27_November_-_03_December_2023.pdf,48,2023,48,https://cbpfgms.github.io/pf-onebi-data/OEW48-271103122023_c.pdf,1/12/2024
Week_49__04_-_10_December_2023.pdf,49,2023,49,https://cbpfgms.github.io/pf-onebi-data/OEW49-0410122023_c.pdf,1/12/2024
Week_50__11_-_17_December_2023.pdf,50,2023,50,https://iris.who.int/bitstream/handle/10665/375728/OEW50-1117122023.pdf,6/10/2024
Week_51__18_-_24_December_2023.pdf,51,2023,51,https://iris.who.int/bitstream/handle/10665/375780/OEW51-1824122023.pdf,6/10/2024
Week_52__25_-_31_December_2023.pdf,52,2023,52,https://cbpfgms.github.io/pf-onebi-data/OEW52-2531122023.pdf,6/10/2024
Week_1__01_-_07_January_2024.pdf,1,2024,1,https://cbpfgms.github.io/pf-onebi-data/OEW01-0107012024.pdf,6/10/2024
Week_02__08_-_14_January_2024.pdf,2,2024,2,https://cbpfgms.github.io/pf-onebi-data/OEW02-0814012024.pdf,6/10/2024
Week_03__15_-_21_January_2024.pdf,3,2024,3,https://cbpfgms.github.io/pf-onebi-data/OEW03-1521012024.pdf,6/10/2024
